,epoch,comp,lr,accuracy,train_accuracy,runtime
0,1500,25,0.1,0.7902,0.80156,37.6255247592926
1,1500,50,0.1,0.8184,0.83468,50.07267355918884
2,1500,75,0.1,0.8318,0.84332,63.59578037261963
3,1500,100,0.1,0.8312,0.84744,77.21589970588684
4,1500,125,0.1,0.8368,0.85252,88.9289767742157
5,1500,150,0.1,0.8374,0.85324,147.36998963356018
6,1500,175,0.1,0.8364,0.85328,170.37632584571838
7,1500,200,0.1,0.8388,0.85476,187.73778295516968
8,1500,225,0.1,0.834,0.85564,207.23674058914185
9,1500,250,0.1,0.8328,0.8592,226.48344135284424
10,1500,275,0.1,0.8314,0.85624,246.81154370307922
11,1500,300,0.1,0.8322,0.85852,264.76989221572876
12,1500,325,0.1,0.8332,0.85748,284.622926235199
13,1500,350,0.1,0.8306,0.86116,306.33137106895447
14,1500,375,0.1,0.8262,0.86004,326.1639242172241
15,1500,400,0.1,0.8262,0.85844,339.2907073497772
16,1500,425,0.1,0.8246,0.85552,365.31857800483704
17,1500,450,0.1,0.821,0.85684,386.77533507347107
18,1500,475,0.1,0.8276,0.85916,404.78494691848755
19,1500,500,0.1,0.8234,0.86008,418.1119635105133
