,components,accuracy,runtime
0,10,0.7264,27.569994926452637
1,20,0.766,28.009000062942505
2,30,0.7758,32.97999930381775
3,40,0.7908,32.98300552368164
4,50,0.8166,37.468002796173096
5,60,0.808,40.15601086616516
6,70,0.8212,41.5620059967041
7,80,0.8106,43.8790020942688
8,90,0.8124,46.025007486343384
9,100,0.8164,48.030004024505615
10,110,0.832,51.08402490615845
11,120,0.8206,56.13998794555664
12,130,0.8136,56.51601219177246
13,140,0.822,67.91631865501404
14,150,0.8266,64.17059373855591
15,160,0.826,65.20127010345459
16,170,0.818,67.39766240119934
17,180,0.824,69.60635614395142
18,190,0.8198,72.66327404975891
19,200,0.8244,73.02648162841797
20,210,0.8278,81.47644877433777
21,220,0.8174,88.57900547981262
22,230,0.8198,91.68400692939758
23,240,0.821,94.12401151657104
24,250,0.8186,97.35200023651123
25,260,0.8192,86.75400805473328
26,270,0.8128,89.09600782394409
27,280,0.811,96.84900331497192
28,290,0.82,115.82328224182129
29,300,0.8222,96.17600083351135
30,310,0.8028,98.40602207183838
31,320,0.8174,104.6660041809082
32,330,0.7848,103.22300291061401
33,340,0.8098,106.19027090072632
34,350,0.8156,118.7740478515625
35,360,0.8104,122.62100458145142
36,370,0.7958,119.01778841018677
37,380,0.8076,117.10328507423401
38,390,0.8172,119.96720886230469
39,400,0.8116,125.27998924255371
